   0.0000000000000000e+00   1.5102850500299999e+08   2.5929872018499998e+06   0.0000000000000000e+00   1.4776276242600000e+08   2.3359986009599999e+07   0.0000000000000000e+00   1.4847756838100001e+08  -1.8273877354499999e+07   0.0000000000000000e+00
   8.6400000000000000e+04   1.5096173853299999e+08   5.1852102384799998e+06   0.0000000000000000e+00   1.4733998402100000e+08   2.5893088167300001e+07   0.0000000000000000e+00   1.4876938527500001e+08  -1.5722369756800000e+07   0.0000000000000000e+00
   1.7280000000000000e+05   1.5085048294499999e+08   7.7759051698400006e+06   0.0000000000000000e+00   1.4687378384599999e+08   2.8418559513099998e+07   0.0000000000000000e+00   1.4901735914899999e+08  -1.3166228704399999e+07   0.0000000000000000e+00
   2.5920000000000000e+05   1.5069477102800000e+08   1.0364308506299999e+07   0.0000000000000000e+00   1.4636429929300001e+08   3.0935655778900001e+07   0.0000000000000000e+00   1.4922141692300001e+08  -1.0606207504100000e+07   0.0000000000000000e+00
   3.4560000000000000e+05   1.5049464866999999e+08   1.2949657433400000e+07   0.0000000000000000e+00   1.4581168050900000e+08   3.3443635164999999e+07   0.0000000000000000e+00   1.4938149846000001e+08  -8.0430606057300000e+06   0.0000000000000000e+00
   4.3200000000000000e+05   1.5025017484900001e+08   1.5531190037000000e+07   0.0000000000000000e+00   1.4521609035400000e+08   3.5941758558400005e+07   0.0000000000000000e+00   1.4949755658399999e+08  -5.4775433804700002e+06   0.0000000000000000e+00
   5.1840000000000000e+05   1.4996142161100000e+08   1.8108145527700000e+07   0.0000000000000000e+00   1.4457770435100001e+08   3.8429289750500001e+07   0.0000000000000000e+00   1.4956955709200001e+08  -2.9104118980500000e+06   0.0000000000000000e+00
   6.0480000000000000e+05   1.4962847405399999e+08   2.0679764464800000e+07   0.0000000000000000e+00   1.4389671063400000e+08   4.0905495654500000e+07   0.0000000000000000e+00   1.4959747876499999e+08  -3.4242270387300005e+05   0.0000000000000000e+00
   6.9120000000000000e+05   1.4925143029899999e+08   2.3245288980299998e+07   0.0000000000000000e+00   1.4317330989600000e+08   4.3369646521199994e+07   0.0000000000000000e+00   1.4958131337400001e+08   2.2256674038400003e+06   0.0000000000000000e+00
   7.7760000000000000e+05   1.4883040146200001e+08   2.5803963002500001e+07   0.0000000000000000e+00   1.4240771532699999e+08   4.5821016153999999e+07   0.0000000000000000e+00   1.4952106568300000e+08   4.7931015971599994e+06   0.0000000000000000e+00
   8.6400000000000000e+05   1.4836551162300000e+08   2.8355032478400003e+07   0.0000000000000000e+00   1.4160015255000001e+08   4.8258882123000003e+07   0.0000000000000000e+00   1.4941675344900000e+08   7.3591232414300004e+06   0.0000000000000000e+00
   9.5040000000000000e+05   1.4785689778700000e+08   3.0897745596000001e+07   0.0000000000000000e+00   1.4075085955899999e+08   5.0682525978000000e+07   0.0000000000000000e+00   1.4926840741100001e+08   9.9229761183099989e+06   0.0000000000000000e+00
   1.0368000000000000e+06   1.4730470984400001e+08   3.3431353006200001e+07   0.0000000000000000e+00   1.3986008664300001e+08   5.3091233459899999e+07   0.0000000000000000e+00   1.4907607128799999e+08   1.2483904648600001e+07   0.0000000000000000e+00
   1.1232000000000000e+06   1.4670911052700001e+08   3.5955108043199994e+07   0.0000000000000000e+00   1.3892809631700000e+08   5.5484294711599998e+07   0.0000000000000000e+00   1.4883980176300001e+08   1.5041154114900000e+07   0.0000000000000000e+00
