2453737.500000 	-1.884092647100e-01 	8.786008203700e-01 	3.828974340200e-01 	-1.682556294900e-02 	-3.095015068500e-03 	-1.345472177300e-03 	-1.961208384900e-01 	8.806492917500e-01 	3.773150657800e-01 	-1.709420782100e-02 	-3.268595485600e-03 	-1.171900423400e-03 	-1.813498660300e-01 	8.835035619500e-01 	3.822438648000e-01 	-1.697754594700e-02 	-2.986254055200e-03 	-1.586663289400e-03
2453738.000000 	-1.968145687400e-01 	8.770200118200e-01 	3.822097426000e-01 	-1.679545208400e-02 	-3.228180090900e-03 	-1.405276367800e-03 	-2.046593639800e-01 	8.789806175900e-01 	3.767147427200e-01 	-1.705966596000e-02 	-3.406045692900e-03 	-1.229374673400e-03 	-1.898324117700e-01 	8.819760408500e-01 	3.814357502500e-01 	-1.695240225900e-02 	-3.123808252400e-03 	-1.645769264300e-03
2453738.500000 	-2.052045159200e-01 	8.753726798700e-01 	3.814921751800e-01 	-1.676413599200e-02 	-3.361107579100e-03 	-1.464975394100e-03 	-2.131802765200e-01 	8.772433025700e-01 	3.760857086400e-01 	-1.702375651400e-02 	-3.543156774300e-03 	-1.286743711700e-03 	-1.983020336000e-01 	8.803797770500e-01 	3.805981214100e-01 	-1.692585045600e-02 	-3.261222324500e-03 	-1.704719961200e-03
2453739.000000 	-2.135785043400e-01 	8.736589448900e-01 	3.807447854700e-01 	-1.673161751500e-02 	-3.493791133500e-03 	-1.524564844600e-03 	-2.216828931000e-01 	8.754375194800e-01 	3.754280173200e-01 	-1.698648270800e-02 	-3.679915855500e-03 	-1.344002832400e-03 	-2.067580277400e-01 	8.787148443900e-01 	3.797310566800e-01 	-1.689789169600e-02 	-3.398481219300e-03 	-1.763512324900e-03
2453739.500000 	-2.219359334800e-01 	8.718789305000e-01 	3.799676293300e-01 	-1.669789927800e-02 	-3.626224117900e-03 	-1.584040346800e-03 	-2.301665323900e-01 	8.735634475300e-01 	3.747417249000e-01 	-1.694784788700e-02 	-3.816310083400e-03 	-1.401147409000e-03 	-2.151996910100e-01 	8.769813241500e-01 	3.788346359700e-01 	-1.686852724600e-02 	-3.535570221400e-03 	-1.822143415000e-03
2453740.000000 	-2.302762040600e-01 	8.700327636700e-01 	3.791607648400e-01 	-1.666298366200e-02 	-3.758399716900e-03 	-1.643397543900e-03 	-2.386305147300e-01 	8.716212723500e-01 	3.740268897600e-01 	-1.690785552000e-02 	-3.952326626900e-03 	-1.458172899400e-03 	-2.236263209500e-01 	8.751793048900e-01 	3.779089406200e-01 	-1.683775861900e-02 	-3.672474946400e-03 	-1.880610405100e-03
2453740.500000 	-2.385987179300e-01 	8.681205748300e-01 	3.783242522300e-01 	-1.662687280900e-02 	-3.890310987500e-03 	-1.702632076200e-03 	-2.470741622500e-01 	8.696111859800e-01 	3.732835725900e-01 	-1.686650921800e-02 	-4.087952676400e-03 	-1.515074848600e-03 	-2.320372159100e-01 	8.733088822700e-01 	3.769540533700e-01 	-1.680558770800e-02 	-3.809181299000e-03 	-1.938910537800e-03
2453741.000000 	-2.469028779800e-01 	8.661424979100e-01 	3.774581539300e-01 	-1.658956863100e-02 	-4.021950901900e-03 	-1.761739566800e-03 	-2.554967989200e-01 	8.675333868800e-01 	3.725118362300e-01 	-1.682381274200e-02 	-4.223175444200e-03 	-1.571848889700e-03 	-2.404316753300e-01 	8.713701589600e-01 	3.759700583500e-01 	-1.677201687000e-02 	-3.945675406100e-03 	-1.997041050600e-03
2453741.500000 	-2.551880879600e-01 	8.640986703400e-01 	3.765625345700e-01 	-1.655107283200e-02 	-4.153312376200e-03 	-1.820715612800e-03 	-2.638977506100e-01 	8.653880798800e-01 	3.717117457300e-01 	-1.677977000500e-02 	-4.357982163100e-03 	-1.628490742900e-03 	-2.488089999300e-01 	8.693632445300e-01 	3.749570410600e-01 	-1.673704895200e-02 	-4.081943541700e-03 	-2.054999094900e-03
2453742.000000 	-2.634537524600e-01 	8.619892331300e-01 	3.756374609700e-01 	-1.651138693000e-02 	-4.284388287500e-03 	-1.879555779200e-03 	-2.722763452200e-01 	8.631754761900e-01 	3.708833682200e-01 	-1.673438508200e-02 	-4.492360085800e-03 	-1.684996214200e-03 	-2.571684919900e-01 	8.672882553600e-01 	3.739150885000e-01 	-1.670068726600e-02 	-4.217972062800e-03 	-2.112781670200e-03
2453742.500000 	-2.716992767700e-01 	8.598143308400e-01 	3.746830021800e-01 	-1.647051228400e-02 	-4.415171480500e-03 	-1.938255597600e-03 	-2.806319127000e-01 	8.608957933800e-01 	3.700267729300e-01 	-1.668766221300e-02 	-4.626296483400e-03 	-1.741361193700e-03 	-2.655094555200e-01 	8.651453146700e-01 	3.728442891700e-01 	-1.666293551800e-02 	-4.353747365900e-03 	-2.170385585200e-03
2453743.000000 	-2.799240668300e-01 	8.575741116300e-01 	3.736992295100e-01 	-1.642845011400e-02 	-4.545654767200e-03 	-1.996810565400e-03 	-2.889637851800e-01 	8.585492554100e-01 	3.691420311200e-01 	-1.663960580500e-02 	-4.759778644500e-03 	-1.797581653400e-03 	-2.738311965000e-01 	8.629345524600e-01 	3.717447332500e-01 	-1.662379772200e-02 	-4.489255867300e-03 	-2.227807447900e-03
